s,p_fail_scale,network_variant,failure_mode,capacity_reduction_factor,mean,std,count,ci_lower,ci_upper,finite_count,nonfinite_count
1.5,0.0,matched_redundancy,capacity_reduction,0.5,-29.996811779328027,0.0,30,-29.996811779328027,-29.996811779328027,30,0
1.5,0.0,matched_redundancy,capacity_reduction,0.75,-29.996811779328027,0.0,30,-29.996811779328027,-29.996811779328027,30,0
1.5,0.25,baseline,blocked,,-29.996811779328027,0.0,30,-29.996811779328027,-29.996811779328027,30,0
1.5,0.25,baseline,capacity_reduction,0.25,-29.996811779328027,0.0,30,-29.996811779328027,-29.996811779328027,30,0
1.5,0.25,baseline,capacity_reduction,0.5,-29.996811779328027,0.0,30,-29.996811779328027,-29.996811779328027,30,0
1.5,0.25,baseline,capacity_reduction,0.75,-29.996811779328027,0.0,30,-29.996811779328027,-29.996811779328027,30,0
1.5,0.25,matched_redundancy,blocked,,-29.996811779328027,0.0,30,-29.996811779328027,-29.996811779328027,30,0
1.5,0.25,matched_redundancy,capacity_reduction,0.25,-29.996811779328027,0.0,30,-29.996811779328027,-29.996811779328027,30,0
1.5,0.25,matched_redundancy,capacity_reduction,0.5,-29.996811779328027,0.0,30,-29.996811779328027,-29.996811779328027,30,0
1.5,0.25,matched_redundancy,capacity_reduction,0.75,-29.996811779328027,0.0,30,-29.996811779328027,-29.996811779328027,30,0
1.5,0.5,baseline,blocked,,-29.996811779328027,0.0,30,-29.996811779328027,-29.996811779328027,30,0
1.5,0.5,baseline,capacity_reduction,0.25,-29.996811779328027,0.0,30,-29.996811779328027,-29.996811779328027,30,0
1.5,0.5,baseline,capacity_reduction,0.5,-29.996811779328027,0.0,30,-29.996811779328027,-29.996811779328027,30,0
1.5,0.5,baseline,capacity_reduction,0.75,-29.996811779328027,0.0,30,-29.996811779328027,-29.996811779328027,30,0
1.5,0.5,matched_redundancy,blocked,,-29.585379211750425,2.253508981545213,30,-30.391787044202523,-28.778971379298326,30,0
1.5,0.5,matched_redundancy,capacity_reduction,0.25,-29.585379211750425,2.253508981545213,30,-30.391787044202523,-28.778971379298326,30,0
1.5,0.5,matched_redundancy,capacity_reduction,0.5,-29.950136339328026,0.2556519136947966,30,-30.04162020172803,-29.85865247692802,30,0
1.5,0.5,matched_redundancy,capacity_reduction,0.75,-29.99008897932803,0.036822292095957346,30,-30.00326566732803,-29.976912291328027,30,0
1.5,1.0,baseline,blocked,,-96079.93418577021,365534.0451717606,30,-226884.61234253814,34724.74397099773,30,0
1.5,1.0,baseline,capacity_reduction,0.25,-39.957054261359275,52.59721107816792,30,-58.77872452134976,-21.13538400136879,30,0
1.5,1.0,baseline,capacity_reduction,0.5,-30.523895059328026,2.7762698083010973,30,-31.517370451149702,-29.53041966750635,30,0
1.5,1.0,baseline,capacity_reduction,0.75,-30.000712663278644,0.06992516285347256,30,-30.025735061446262,-29.975690265111027,30,0
1.5,1.0,matched_redundancy,blocked,,-29.752045878417093,2.4603880511827727,30,-30.632484435171758,-28.871607321662427,30,0
1.5,1.0,matched_redundancy,capacity_reduction,0.25,-29.752045878417093,2.4603880511827727,30,-30.632484435171758,-28.871607321662427,30,0
1.5,1.0,matched_redundancy,capacity_reduction,0.5,-30.116803005994694,0.9564445690260834,30,-30.45906229942784,-29.77454371256155,30,0
1.5,1.0,matched_redundancy,capacity_reduction,0.75,-29.99008897932803,0.036822292095957346,30,-30.00326566732803,-29.976912291328027,30,0
1.5,1.5,baseline,blocked,,-144105.42926852222,439618.8856630443,30,-301421.0271187057,13210.168581661215,30,0
1.5,1.5,baseline,capacity_reduction,0.25,-41.21095250135928,52.79957250496577,30,-60.105036867924156,-22.316868134794404,30,0
1.5,1.5,baseline,capacity_reduction,0.5,-30.597653779328027,2.791137646917864,30,-31.596449558869647,-29.598857999786407,30,0
1.5,1.5,baseline,capacity_reduction,0.75,-30.01133634722926,0.0904967770245598,30,-30.04372020298573,-29.97895249147279,30,0
1.5,1.5,matched_redundancy,blocked,,-29.507279977506155,2.779724322545418,30,-30.50199155137403,-28.51256840363828,30,0
1.5,1.5,matched_redundancy,capacity_reduction,0.25,-29.507279977506155,2.779724322545418,30,-30.50199155137403,-28.51256840363828,30,0
1.5,1.5,matched_redundancy,capacity_reduction,0.5,-30.236794232661357,1.147577579397092,30,-30.647449595453693,-29.82613886986902,30,0
1.5,1.5,matched_redundancy,capacity_reduction,0.75,-29.983366179328026,0.05116887083427948,30,-30.001676724596056,-29.965055634059997,30,0
1.5,2.0,baseline,blocked,,-96079.98708355728,526095.9614597702,30,-284341.00907942856,92181.03491231402,30,0
1.5,2.0,baseline,capacity_reduction,0.25,-41.21095250135928,52.79957250496577,30,-60.105036867924156,-22.316868134794404,30,0
1.5,2.0,baseline,capacity_reduction,0.5,-30.597653779328027,2.791137646917864,30,-31.596449558869647,-29.598857999786407,30,0
